iter	Logloss
227	0.3105358094
228	0.3102889574
229	0.3097779689
230	0.3094104325
231	0.3092354461
232	0.3087740639
233	0.3082958896
234	0.3082132329
235	0.3079207474
236	0.30763155
237	0.30751278
238	0.3068656263
239	0.3065288032
240	0.3054635865
241	0.3049421126
242	0.3047030203
243	0.3044337936
244	0.3039326181
245	0.3038724367
246	0.3034839859
247	0.3030772661
248	0.3029445153
249	0.3028425354
250	0.3024052425
251	0.3017969997
252	0.3017119811
253	0.3012355006
254	0.3006638272
255	0.3004457294
256	0.3000728261
257	0.2995351805
258	0.2993588679
259	0.2988677048
260	0.2984616816
261	0.2979695996
262	0.2977645461
263	0.297695147
264	0.2973045349
265	0.2965112703
266	0.2962775198
267	0.2958542808
268	0.2953924632
269	0.2943920603
270	0.294081807
271	0.2933805059
272	0.2932659979
273	0.2928265995
274	0.2925786661
275	0.2922323453
276	0.2919553966
277	0.2918778724
278	0.2918117972
279	0.2916584476
280	0.2914689259
281	0.2907810405
282	0.2903312272
283	0.290200422
284	0.2896159001
285	0.2890708324
286	0.2889727949
287	0.2883627714
288	0.2880334079
289	0.2867524417
290	0.285697849
291	0.2855356667
292	0.2850887434
293	0.2843221277
294	0.2839534734
295	0.2825490338
296	0.282271773
297	0.2822289911
298	0.2817633595
299	0.2809822219
300	0.2808359906
301	0.2802205722
302	0.2798727763
303	0.2796837442
304	0.2793966943
305	0.2793524408
306	0.2792193642
307	0.2779554579
308	0.2778693129
309	0.2775595202
310	0.2774660536
311	0.2773975754
312	0.2769925813
313	0.2765175201
314	0.2754323971
315	0.2751087798
316	0.2750507484
317	0.2746020853
318	0.2740723678
319	0.2734608295
320	0.2727100897
321	0.2720727849
322	0.2715976751
323	0.2704989968
324	0.2699209131
325	0.269122407
326	0.2687477416
327	0.2682872247
328	0.2680659808
329	0.2677245899
330	0.2668975338
331	0.2667609084
332	0.2657680199
333	0.2650737699
334	0.264905285
335	0.2647497536
336	0.264611264
337	0.2639351848
338	0.2636729983
339	0.263587141
340	0.2634821139
341	0.2630641371
342	0.2623456595
343	0.261330268
344	0.2611503803
345	0.2607090268
346	0.2606590857
347	0.260588507
348	0.2602724242
349	0.259711721
350	0.2596500184
351	0.2589822243
352	0.2588133654
353	0.2586425361
354	0.2585893513
355	0.2585430111
356	0.2584095965
357	0.2580007612
358	0.2572200423
359	0.256743358
360	0.2560035522
361	0.2557642833
362	0.2553020824
363	0.2551549942
364	0.2550995814
365	0.2547579374
366	0.2545554281
367	0.2544001093
368	0.2534869382
369	0.2527351008
370	0.2526865802
371	0.2522593237
372	0.2521503874
373	0.2521123051
374	0.2513603805
375	0.2505682277
376	0.2502953394
377	0.2501064274
378	0.2496637413
379	0.2490016672
380	0.2483874673
381	0.2480622054
382	0.2473538251
383	0.2466790138
384	0.2462736162
385	0.245342296
386	0.2449543887
387	0.2443641209
388	0.2438678421
389	0.2435956289
390	0.2430318107
391	0.2424215187
392	0.2423696812
393	0.2421949916
394	0.2414545908
395	0.2410691381
396	0.2402603921
397	0.2402162688
398	0.2394562455
399	0.2393913217
400	0.2387630163
401	0.2385441105
402	0.2383555157
403	0.2376819259
404	0.2373656236
405	0.2369128338
406	0.2363884572
407	0.2360245255
408	0.2356150393
409	0.2352372971
410	0.2348647486
411	0.2341897776
412	0.2337850456
413	0.2334721835
414	0.2329724993
415	0.2329354301
416	0.2324370225
417	0.2320619915
418	0.2317151454
419	0.2315240076
420	0.2313803091
421	0.2308521305
422	0.2308223338
423	0.2306362315
424	0.2305798022
425	0.2305253918
426	0.2302889943
427	0.2297253949
428	0.2296584852
429	0.2290826707
430	0.2285652295
431	0.2283552541
432	0.2279210125
433	0.2276154835
434	0.2273857117
435	0.2271254805
436	0.2261806391
437	0.2259999864
438	0.2256739871
439	0.224905109
440	0.2247374737
441	0.2246414361
442	0.2236126224
443	0.2230020834
444	0.2229728937
445	0.2226772937
446	0.2220929752
447	0.2219784468
448	0.2219173778
449	0.2213653495
450	0.2209772494
451	0.2208928006
452	0.2207232909
453	0.2206769626
454	0.2206437761
455	0.2206213181
456	0.2201042599
457	0.2195187918
458	0.2192156031
459	0.2185787097
460	0.2184091326
461	0.2178348233
462	0.2177477145
463	0.2174084681
464	0.2167822832
465	0.2165809845
466	0.2165295132
467	0.2162470496
468	0.2157370373
469	0.2150599779
470	0.2147190083
471	0.214154346
472	0.2140659025
473	0.2140402499
474	0.2137164505
475	0.2135862651
476	0.2129942649
477	0.212714964
478	0.2123383757
479	0.2119627878
480	0.2117180878
481	0.2113427406
482	0.2112183682
483	0.2111298099
484	0.2110122273
485	0.2108468907
486	0.2103949818
487	0.2098038188
488	0.2095152486
489	0.2094672186
490	0.2091294646
491	0.2088565127
492	0.208815394
493	0.2087749853
494	0.2087365893
495	0.2081943422
496	0.2079249388
497	0.2078768703
498	0.2078026111
499	0.2076276788
